ID;Foto;Nome;Referência;Categoria;Preço base;Preço final;Quantidade;Apresentado;
147;http://www.annepeliculas.com.br/img/p/0.jpg;Minnie e Mickey ;MI009;Minnie e Mickey ;2.000000;2;0;0;
110;http://www.annepeliculas.com.br/img/p/2/1/8/218.jpg;Azulejos Portugueses;AP013;Azulejos Portugueses;2.000000;2;0;1;
161;http://www.annepeliculas.com.br/img/p/3/1/5/315.jpg;Caveira;CV001;Caveira;2.000000;2;0;1;
226;http://www.annepeliculas.com.br/img/p/4/2/3/423.jpg;Princesas;PR011;Princesas;2.000000;2;0;1;
245;http://www.annepeliculas.com.br/img/p/5/6/8/568.jpg;Cachorros;CA001;Cachorros;2.000000;2;-1;1;
13;http://www.annepeliculas.com.br/img/p/3/4/34.jpg;Francesinhas;FR001;Francesinhas;2.000000;2;-4;1;
78;http://www.annepeliculas.com.br/img/p/1/6/1/161.jpg;Natal;NT006;Natal;2.000000;2;0;1;
129;http://www.annepeliculas.com.br/img/p/2/5/5/255.jpg;Florais;FL006;Florais;2.000000;2;0;1;
194;http://www.annepeliculas.com.br/img/p/3/5/6/356.jpg;Animal Print;AN017;Animal Print;2.000000;2;0;1;
277;http://www.annepeliculas.com.br/img/p/5/2/4/524.jpg;Joaninha;JO003;Joaninha;2.000000;2;0;1;
45;http://www.annepeliculas.com.br/img/p/9/9/99.jpg;Francesinhas;FR033;Francesinhas;2.000000;2;0;1;
113;http://www.annepeliculas.com.br/img/p/2/2/3/223.jpg;Azulejos Portugueses;AP015;Azulejos Portugueses;2.000000;2;0;1;
164;http://www.annepeliculas.com.br/img/p/3/1/7/317.jpg;Caveira;CV002;Caveira;2.000000;2;0;1;
229;http://www.annepeliculas.com.br/img/p/4/2/9/429.jpg;Princesas;PR014;Princesas;2.000000;2;0;1;
248;http://www.annepeliculas.com.br/img/p/4/6/6/466.jpg;Cachorros;CA004;Cachorros;2.000000;2;-1;1;
16;http://www.annepeliculas.com.br/img/p/4/0/40.jpg;Francesinhas;FR004;Francesinhas;2.000000;2;0;1;
81;http://www.annepeliculas.com.br/img/p/1/6/7/167.jpg;Natal;NT009;Natal;2.000000;2;0;1;
132;http://www.annepeliculas.com.br/img/p/2/5/9/259.jpg;Florais;FL008;Florais;2.000000;2;0;1;
197;http://www.annepeliculas.com.br/img/p/3/6/4/364.jpg;Animal Print;AN014;Animal Print;2.000000;2;0;1;
280;http://www.annepeliculas.com.br/img/p/5/3/0/530.jpg;Joaninha;JO006;Joaninha;2.000000;2;0;1;
48;http://www.annepeliculas.com.br/img/p/1/0/5/105.jpg;Francesinhas;FR036;Francesinhas;2.000000;2;0;1;
51;http://www.annepeliculas.com.br/img/p/1/1/1/111.jpg;Francesinhas;FR039;Francesinhas;2.000000;2;0;1;
116;http://www.annepeliculas.com.br/img/p/2/2/9/229.jpg;Azulejos Portugueses;AP021;Azulejos Portugueses;2.000000;2;0;1;
